Delegation.DelegatorAddress,Delegation.ValidatorAddress,Delegation.Shares,Balance.Denom,Balance.Amount
quick1qqch4ar894gufwvj00qzghhfrd5jzj7mqxqnz0,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,311300000.000000000000000000,uqck,311300000
quick1qp9w9ssapq6z2vgwurthpdeltjc2smwytkjncm,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1500000.000000000000000000,uqck,1500000
quick1q2p0c7t4fle36awhu7pq6qrt2aqd5cdfsf0q83,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1000000.000000000000000000,uqck,1000000
quick1qenxsaclrltl7ttcuaqe0uy7edw0v6fp46e08w,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,6000000.000000000000000000,uqck,6000000
quick1qm5y0aa4sggyedhv5z45cxahe67np0vprw5spj,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3000000.000000000000000000,uqck,3000000
quick1qapv0plrwcqeqxefeg20zgr2x5s26f06fptf58,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3180962925.000000000000000000,uqck,3180962925
quick1pyv5xxe6pajjg0hs0pudclpt52v5w7sy7vcgzy,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1.000000000000000000,uqck,1
quick1pyhhmsymjnfs6k2uks70r6rygwyewaxnr8x5uz,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,30.000000000000000000,uqck,30
quick1px6pc9jyxr8uj2flkgtswxax7jlptrr3gnkg2t,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1535000000.000000000000000000,uqck,1535000000
quick1pfxkckpcpcc5su5kydwsqa9kwnflfurl27y44j,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,217980259.000000000000000000,uqck,217980259
quick1p28xa0nw9gf24zx3j5kpkshzj643k6v4pcqmka,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1100000.000000000000000000,uqck,1100000
quick1pthj8z657jan8lvqadvgu9dexn49gw6zh2tse4,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,10.000000000000000000,uqck,10
quick1pw4ggdkkv5dugalrkae35mdu2exuu0dnn7c9ap,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,27.000000000000000000,uqck,27
quick1p0t9v8l4h0wpgrl0ju8j83gtm0aqnac0r30p6n,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,76505840.000000000000000000,uqck,76505840
quick1ps8wrcs26m9w38w70y0q3fneayasc5gpjqex7v,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3000000.000000000000000000,uqck,3000000
quick1pjwhp7jfu0kac4mmmyqszt8jzeuhkgrdn8uny6,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,55000000.000000000000000000,uqck,55000000
quick1p4ze0t9jcq0dqwy2z0m04ma94vnzk9ydcete6c,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,24000000000.000000000000000000,uqck,24000000000
quick1p45cvk7w98hkvqcf8vd9nverv35pg5yje2x3ad,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,6692080.000000000000000000,uqck,6692080
quick1peavg9tsg0663wfve3ry2ew9dyx0gh8n3uufg9,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3746394.000000000000000000,uqck,3746394
quick1pm9320azsu26d094p4uj4rkcarraxwrxn78pls,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,10931298.000000000000000000,uqck,10931298
quick1p74rx5jhte3vpruu8l85saal60la8zj0lenqxf,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,8835000000.000000000000000000,uqck,8835000000
quick1pltz3sltwffqejhwjy0cfxkm9zudwa8u0vwr4q,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1410000.000000000000000000,uqck,1410000
quick1pl7kt82s76zdkqcdnk2rzcfalyy9m6w26dnaa2,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,10000000.000000000000000000,uqck,10000000
quick1zpw2rcj292pfpqr2ezdqa3mur7jj2lwx4t3zad,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2800000.000000000000000000,uqck,2800000
quick1zzuttewnk3keg6m3xf2n3wxd2h7wkvj7xlxtr7,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2000000.000000000000000000,uqck,2000000
quick1zx92uhpkpmh26jy8zy3fxtv5mrlp0mcwr2rutm,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,10.000000000000000000,uqck,10
quick1zgu9keu4umnxrz6qsthzu2et0e3scswjjf263w,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,5186772000.000000000000000000,uqck,5186772000
quick1zfv5u4fm2sptsvq48n9h02ctk55xcl578au4mt,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3500000.000000000000000000,uqck,3500000
quick1zttl5ud0klt90zlcp6kxwczncz7tvhl9exkj7d,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1200000.000000000000000000,uqck,1200000
quick1zvs0zsnphxs0mm0kc55f3qq66w4hghs6z9lq4g,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2930000000.000000000000000000,uqck,2930000000
quick1zdj62yadqthslqjaea605julzvw20vgltdpk07,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2375000000.000000000000000000,uqck,2375000000
quick1zwyys6qq3llh5esw7twdpwhc6tmm53cdvntd66,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3850000.000000000000000000,uqck,3850000
quick1zwnamfcxqmnryglpk4gsdlvlrnz93nyraf6j7t,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,6346999998.000000000000000000,uqck,6346999998
quick1znxg4wlcfc2765wxk3y2p8jwzk33zaltwrdmhs,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,4043000000.000000000000000000,uqck,4043000000
quick1znvapm7c683ez6xu44qk5vd9xqgv3v0j6dhle4,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3000000.000000000000000000,uqck,3000000
quick1z5yr8x48wyq99d9m2cptl9e2le5ftumnuxrrp5,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,10.000000000000000000,uqck,10
quick1zk2wcmt9e3jw6nqldf9hyp4ae38cqpakfaf7yj,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,500000000.000000000000000000,uqck,500000000
quick1zcxqdxgvk37ntvcjqmtg68s4k2yzzryyh285n9,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,46.000000000000000000,uqck,46
quick1zcaugrfn6s0xvl5t83ajc6mvfyfzpq53d3u420,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,189000000.000000000000000000,uqck,189000000
quick1ze8qkz4t0g5wtltyp2khxxcyqpyqk2umkzaxgv,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,10000000000.000000000000000000,uqck,10000000000
quick1zejq2c7mmjnhcszz66f492npfsw989mf9sf7ae,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,11700000.000000000000000000,uqck,11700000
quick1zm5jg59h4ck3q3rpllnt0phrdnjjuvm8ynm9wp,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1252214249.000000000000000000,uqck,1252214249
quick1zm79pz6s5tvf4dsxv2vg45hnee8hynsvrgcdvg,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,5000000.000000000000000000,uqck,5000000
quick1zutwdhcqjy3t6trccwmt6pqjx8fz6n0mnq9ef6,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,29000000.000000000000000000,uqck,29000000
quick1rqj33uutry05aumcghvhm433rnl4kysdm97pje,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,600000000.000000000000000000,uqck,600000000
quick1rrkus9e2e8ucvaqny5dst4spmckahj8c4n9jrr,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1451841.000000000000000000,uqck,1451841
quick1rrl722ckk4ktyu60fnsevczgypjlutghd7224p,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3400000000.000000000000000000,uqck,3400000000
quick1r9ljcmr4sal6tpvsveurpchtfvqukwp03wtc8m,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,8500000.000000000000000000,uqck,8500000
quick1r9lupzttfyrw9smre5rfn6xk6gmj5qddvmfr6t,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,7200000.000000000000000000,uqck,7200000
quick1r88s95mcwkxp8ysky0gfhxzwafeyt00l2xsnxq,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,16000000.000000000000000000,uqck,16000000
quick1rtjtmx33zqpgznlmyrghf5dtr4lj8vn0ugal5l,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1892871949.000000000000000000,uqck,1892871949
quick1rv5rewvfklh75mn6xhjnwm6xk00nuey29rldtq,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,12070260.000000000000000000,uqck,12070260
quick1rd95p69qn4da4vpq2vthejtctxd7nvwgv2cdsy,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1945845.000000000000000000,uqck,1945845
quick1rde8qfy7qhrlensnsrgr8waqask8cqz67pr8ln,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,8825685620.000000000000000000,uqck,8825685620
quick1rwd7f5aukpxvtvf8cc7zlwk80ql2hxpe5gu3ja,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1000025.000000000000000000,uqck,1000025
quick1rwcg0ju59p24kps0jqkwn7gjc77s99asv7qmf3,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1500000.000000000000000000,uqck,1500000
quick1rsgxugt40gdvpefqaymaschfgnlcd9gyp66908,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2050538.000000000000000000,uqck,2050538
quick1rkvekepwthx48fwwg2ua36mt2y5pd0ny73x053,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,6000000.000000000000000000,uqck,6000000
quick1rmmym5wfl8xy82dhe3ghh2k5qzks638vk9ajnq,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2200000.000000000000000000,uqck,2200000
quick1ru8xw7kt0shztpvctjl2sej558pqdw9ej48p5c,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2460815902.000000000000000000,uqck,2460815902
quick1yzyet5n3ctap6rt5xkmtyaxmr3w7eew4sg5p9d,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,6000000.000000000000000000,uqck,6000000
quick1yre69z3kp54r2vvt2g0khryvurx07x03647zuu,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1563000000.000000000000000000,uqck,1563000000
quick1y92lpxs8mya6u5jyzpu7g9j8j9z8e9jqq99f5n,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3500000000.000000000000000000,uqck,3500000000
quick1y9384ar63pt8wmtt5y7yltgk42k60jjsmyvyyv,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1000000.000000000000000000,uqck,1000000
quick1y8m2lq809m949ugaxcg28p9sdc8zg6ft056y3j,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,30.000000000000000000,uqck,30
quick1ygqssma02fnh24net3r99vgt0clrwlqgf5uyet,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1000000.000000000000000000,uqck,1000000
quick1ydem2cfjnl4cjt5r3q05rxezadlctzxwpccl68,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1250389696.000000000000000000,uqck,1250389696
quick1ysl0s782k7s6dn8c5h9fkjn5ljz3n0spv6aluv,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1000000.000000000000000000,uqck,1000000
quick1y3f267ejv7skw9rndwtutq9satcguuzwx7upla,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,107017740.000000000000000000,uqck,107017740
quick1yn4zgkg5lescgnjz4mmq8ay59qw7ard39tqz3t,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2554968.000000000000000000,uqck,2554968
quick1ynl5uszlz0k4m53rzhtjqkyz7d2k6z5aw8hg9v,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,39000000.000000000000000000,uqck,39000000
quick1y4e53uwpevedz9qjfvw7x0qndp72u54zef4j5r,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,44159630.000000000000000000,uqck,44159630
quick1yu63kmfau0dtuv7p8dfarr4asm9jjxqut6qwdp,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3000000.000000000000000000,uqck,3000000
quick19qm0jvvdm8jc7pcaa0h2tduvr8fzyvs94lg7kp,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,76640000000.000000000000000000,uqck,76640000000
quick19rmjw8d9erhyzcgpmmgy3vs3hze5mwz26qft8c,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1.000000000000000000,uqck,1
quick19ykue6njankvc8yezsyaccs89jj79ka4632f3z,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1923921.000000000000000000,uqck,1923921
quick19x9jscva2wtszrh3f8mq9j8m6ccsjevcyypw4z,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,25031000000.000000000000000000,uqck,25031000000
quick19gznqw40wgc8fyspz5qf5hsht3zre4laepcend,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3500000.000000000000000000,uqck,3500000
quick19g0gxg0egrzt4260ppnxhy2rrqxrcu68wy5e8t,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,864201656.000000000000000000,uqck,864201656
quick19g3tmgmj95gcf66t9r62p9kqzfgx3vjfm8juq4,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1500000000.000000000000000000,uqck,1500000000
quick19vf5mfr40awvkefw69nl6p3mmlsnacmmprkke9,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,10.000000000000000000,uqck,10
quick19dndp7a9hsz7c22t6funxqkvdd4aneun5gm5wm,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2965772.000000000000000000,uqck,2965772
quick19s0rwl8jk2pcvux5zsyw7necf2rq7z6tee78le,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1000000.000000000000000000,uqck,1000000
quick193kfalvettrpzd8ccvlk60vtcx3cj23fps603q,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3465000.000000000000000000,uqck,3465000
quick193efhxrvh974mmg9w2fmp95g08pt8zeyemh0qx,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1399364082.000000000000000000,uqck,1399364082
quick19knmgfw402g8fgw5y7y2fjqqdsh0g6u27vpgdv,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,10000000.000000000000000000,uqck,10000000
quick19lhtm9yrpkmnwfufl3tm30tdrchr7w3k6eajd7,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,150000.000000000000000000,uqck,150000
quick1xppn98w0gg6wl0q2g2nasmkqlf2elwpk56e2dk,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3000000.000000000000000000,uqck,3000000
quick1xfqy3nlym48atnjwkr2rqvpdlam5ck3hq27yxj,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1499000000.000000000000000000,uqck,1499000000
quick1xfv3n4rhf3lfs69mpdcdjgjerqar6rt4j3wata,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2000000.000000000000000000,uqck,2000000
quick1xw58hyxv4lj2pxehhxupjl06a2gahv54rpkag8,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,6744000000.000000000000000000,uqck,6744000000
quick1x09lcfnsm5cfate6p3qgkycets4n3cz7868gmx,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,4680000.000000000000000000,uqck,4680000
quick1xktspj2axk9c398vvldga677vfyfq2kl8nvzes,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,48465566.000000000000000000,uqck,48465566
quick1xcpwdg73tvhjze5xvsgux8ejvwrjzqytd6f0dj,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3500000.000000000000000000,uqck,3500000
quick1xe7f5vlfp0k3c33ng435tr4hxrfzsvnhnrx2ua,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,10193508234.000000000000000000,uqck,10193508234
quick1x6tf65r2mhgf4uv99zn4p28pzw69vf7c7fa94q,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,25464508957.000000000000000000,uqck,25464508957
quick1x6cn54flp9jf53lht0ujgep5qg6js3vja245j9,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,2000000.000000000000000000,uqck,2000000
quick1xa7se694ert6r3pxzh5vrgv8s9s39y55kduv08,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1724900.000000000000000000,uqck,1724900
quick1xl8lxkd3sehl726egu5h9daqu8gxqqylchpf3q,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,25242510796.000000000000000000,uqck,25242510796
quick18rek6kf5rhthuqewqggvesccn2stf5t0amdlhu,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,190300.000000000000000000,uqck,190300
